2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BROWSER_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_ATTRIBUTE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_ITEM] exists in the database but has no corresponding entity
2021-04-24 16:53:18,048 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_ITEM_ATTRIBUTE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_ITEM_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_ITEM_TYPE_ATTR] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_REVIEW] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_REVIEW_RESULT_TYPE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_REVISION] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_REVISION_IMPACT] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_ROLE] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_SCENARIO] exists in the database but has no corresponding entity
2021-04-24 16:53:18,049 |OFBiz-batch-1        |DatabaseUtil                  |W| Table named [BUDGET_SCENARIO_APPLICATION] exists in the database but has no corresponding entity
